scenario,schedule,mode,tolerance,regime,reference,comparator,metric,difference,lower,upper,n_worlds
bridgeable,random,rinf,0.3,stopped,optimized__minimum,inverse_variance__minimum,new_n,-43.04,-46.56,-39.52,600
bridgeable,random,rinf,0.3,stopped,optimized__minimum,inverse_variance__minimum,error,-0.317032389772,-0.320501959213,-0.313866137133,600
bridgeable,random,rinf,0.3,stopped,optimized__minimum,inverse_variance__minimum,width,0.0179747658762,0.0128995487599,0.0229243266234,600
bridgeable,random,rinf,0.3,stopped,optimized__minimum,nearest_source__minimum,released,0.318333333333,0.305,0.331666666667,600
bridgeable,random,rinf,0.3,stopped,optimized__minimum,nearest_source__minimum,bad_release,0,0,0,600
bridgeable,random,rinf,0.3,stopped,optimized__minimum,nearest_source__minimum,path_covered,0,0,0,600
bridgeable,random,rinf,0.3,stopped,optimized__minimum,nearest_source__minimum,new_n,-43.04,-46.56,-39.36,600
bridgeable,random,rinf,0.3,stopped,optimized__minimum,nearest_source__minimum,error,-0.086042220705,-0.0945643943492,-0.0775909840432,600
bridgeable,random,rinf,0.3,stopped,optimized__minimum,nearest_source__minimum,width,0.0179747658762,0.0131911522305,0.02259316729,600
bridgeable,random,rinf,0.3,stopped,optimized__minimum,optimized__barycentric,released,0,0,0,600
bridgeable,random,rinf,0.3,stopped,optimized__minimum,optimized__barycentric,bad_release,0,0,0,600
bridgeable,random,rinf,0.3,stopped,optimized__minimum,optimized__barycentric,path_covered,0,0,0,600
bridgeable,random,rinf,0.3,stopped,optimized__minimum,optimized__barycentric,new_n,0,0,0,600
bridgeable,random,rinf,0.3,stopped,optimized__minimum,optimized__barycentric,error,0,0,0,600
bridgeable,random,rinf,0.3,stopped,optimized__minimum,optimized__barycentric,width,0,0,0,600
bridgeable,random,rinf,0.3,stopped,optimized__minimum,optimized__lipschitz,released,0.318333333333,0.305,0.33,600
bridgeable,random,rinf,0.3,stopped,optimized__minimum,optimized__lipschitz,bad_release,0,0,0,600
bridgeable,random,rinf,0.3,stopped,optimized__minimum,optimized__lipschitz,path_covered,0,0,0,600
bridgeable,random,rinf,0.3,stopped,optimized__minimum,optimized__lipschitz,new_n,-43.04,-46.56,-39.36,600
bridgeable,random,rinf,0.3,stopped,optimized__minimum,optimized__lipschitz,error,-0.133828506178,-0.144628908021,-0.122818182757,600
bridgeable,random,rinf,0.3,stopped,optimized__minimum,optimized__lipschitz,width,0.0179747658762,0.0131183526337,0.022654235343,600
bridgeable,random,rinf,0.3,stopped,optimized__minimum,uniform__minimum,released,0.318333333333,0.303333333333,0.33,600
bridgeable,random,rinf,0.3,stopped,optimized__minimum,uniform__minimum,bad_release,0,0,0,600
bridgeable,random,rinf,0.3,stopped,optimized__minimum,uniform__minimum,path_covered,0,0,0,600
bridgeable,random,rinf,0.3,stopped,optimized__minimum,uniform__minimum,new_n,-43.04,-46.4,-39.68,600
bridgeable,random,rinf,0.3,stopped,optimized__minimum,uniform__minimum,error,-0.0958576440659,-0.101280602564,-0.0904407342098,600
bridgeable,random,rinf,0.3,stopped,optimized__minimum,uniform__minimum,width,0.0179747658762,0.0132306292716,0.0226271026702,600
supported,nearest,r2,0.2,stopped,optimized__minimum,inverse_variance__minimum,released,0,0,0,600
supported,nearest,r2,0.2,stopped,optimized__minimum,inverse_variance__minimum,bad_release,0,0,0,600
supported,nearest,r2,0.2,stopped,optimized__minimum,inverse_variance__minimum,path_covered,0,0,0,600
supported,nearest,r2,0.2,stopped,optimized__minimum,inverse_variance__minimum,new_n,0,0,0,600
supported,nearest,r2,0.2,stopped,optimized__minimum,inverse_variance__minimum,error,0.000437168152936,-0.000360432903022,0.00127321336869,600
supported,nearest,r2,0.2,stopped,optimized__minimum,inverse_variance__minimum,width,-0.0267704755689,-0.0277685753243,-0.0258197955444,600
supported,nearest,r2,0.2,stopped,optimized__minimum,nearest_source__minimum,released,0.998333333333,0.995,1,600
supported,nearest,r2,0.2,stopped,optimized__minimum,nearest_source__minimum,bad_release,0,0,0,600
supported,nearest,r2,0.2,stopped,optimized__minimum,nearest_source__minimum,path_covered,0,0,0,600
supported,nearest,r2,0.2,stopped,optimized__minimum,nearest_source__minimum,new_n,-287.52,-288,-286.56,600
supported,nearest,r2,0.2,stopped,optimized__minimum,nearest_source__minimum,error,-0.0674414238781,-0.0725320688396,-0.0624964040667,600
supported,nearest,r2,0.2,stopped,optimized__minimum,nearest_source__minimum,width,-0.166918165728,-0.171054317283,-0.162801375461,600
supported,nearest,r2,0.2,stopped,optimized__minimum,optimized__barycentric,released,0,0,0,600
