scenario,replicate,status,q,joint_set_covered,mechanisms,proxies,boxes,effects,noise_sd,beta,L,H,optimization_seconds
nominal,7,evaluated,2.59854813062,True,"[0.3080424580000318, 0.40424981927102066, 0.4953564889658584, -0.22594006288397606, -0.632614350179091]","[0.30785503879363096, 0.3058866187149231, 0.484574825899756, -0.2906177355729627, -0.5654782417526759]","[[0.15194215095632863, 0.4637679266309333], [0.14997373087762078, 0.46179950655222546], [0.32866193806245364, 0.6404877137370584], [-0.44653062341026506, -0.13470484773566038], [-0.7213911295899782, -0.4095653539153736]]","[0.22259978436346098, 0.37458871514690373, 0.33919451004036855, -0.30429379323580613]","[0.04, 0.06, 0.08, 0.1]","[0.0, 0.0, 0.0, 0.0]",1.2,0.6,0.00745189999998
extrapolation,7,evaluated,2.59854813062,True,"[-0.7, -0.5499999999999999, -0.39999999999999997, -0.25, 0.95]","[-0.7001874192064008, -0.6483632005560975, -0.41078166306610236, -0.31467767268898666, 1.0]","[[-0.8561003070437032, -0.5442745313690984], [-0.8042760883933999, -0.4924503127187952], [-0.5666945509034047, -0.2548687752288], [-0.470590560526289, -0.15876478485168433], [0.8440871121626976, 1.0]]","[-0.2636927372157685, -0.15623655132990447, -0.22363279868732125, -0.315294429110225]","[0.04, 0.06, 0.08, 0.1]","[0.0, 0.0, 0.0, 0.0]",1.2,0.6,0.0130765000001
proxy_shift,7,evaluated,2.59854813062,False,"[0.3080424580000318, 0.40424981927102066, 0.4953564889658584, -0.22594006288397606, -0.632614350179091]","[0.3074802003808292, 0.10916021760272798, 0.4630114997675512, -0.41997308095093605, -0.43120602489984583]","[[0.15156731254352684, 0.4633930882181315], [-0.046752670234574356, 0.2650731054400303], [0.30709861193024884, 0.6189243876048536], [-0.5758859687882384, -0.2640601931136337], [-0.5871189127371481, -0.2752931370625435]]","[0.22259978436346098, 0.37458871514690373, 0.33919451004036855, -0.30429379323580613]","[0.04, 0.06, 0.08, 0.1]","[0.0, 0.0, 0.0, 0.0]",1.2,0.6,0.007339
understated_LH,7,evaluated,2.59854813062,True,"[0.3080424580000318, 0.40424981927102066, 0.4953564889658584, -0.22594006288397606, -0.632614350179091]","[0.30785503879363096, 0.3058866187149231, 0.484574825899756, -0.2906177355729627, -0.5654782417526759]","[[0.15194215095632863, 0.4637679266309333], [0.14997373087762078, 0.46179950655222546], [0.32866193806245364, 0.6404877137370584], [-0.44653062341026506, -0.13470484773566038], [-0.7213911295899782, -0.4095653539153736]]","[0.22259978436346098, 0.37458871514690373, 0.33919451004036855, -0.30429379323580613]","[0.04, 0.06, 0.08, 0.1]","[0.0, 0.0, 0.0, 0.0]",0.12,0.06,0.0107346
high_noise,7,evaluated,2.59854813062,True,"[0.3080424580000318, 0.40424981927102066, 0.4953564889658584, -0.22594006288397606, -0.632614350179091]","[0.30785503879363096, 0.3058866187149231, 0.484574825899756, -0.2906177355729627, -0.5654782417526759]","[[0.15194215095632863, 0.4637679266309333], [0.14997373087762078, 0.46179950655222546], [0.32866193806245364, 0.6404877137370584], [-0.44653062341026506, -0.13470484773566038], [-0.7213911295899782, -0.4095653539153736]]","[0.24121430993192394, 0.5406156124870947, 0.27592891266572594, -0.6723826514562561]","[0.12, 0.18, 0.24, 0.30000000000000004]","[0.0, 0.0, 0.0, 0.0]",1.2,0.6,0.0102958
bounded_nuisance_bias,7,evaluated,2.59854813062,True,"[0.3080424580000318, 0.40424981927102066, 0.4953564889658584, -0.22594006288397606, -0.632614350179091]","[0.30785503879363096, 0.3058866187149231, 0.484574825899756, -0.2906177355729627, -0.5654782417526759]","[[0.15194215095632863, 0.4637679266309333], [0.14997373087762078, 0.46179950655222546], [0.32866193806245364, 0.6404877137370584], [-0.44653062341026506, -0.13470484773566038], [-0.7213911295899782, -0.4095653539153736]]","[0.16259978436346098, 0.4345887151469037, 0.27919451004036855, -0.24429379323580613]","[0.04, 0.06, 0.08, 0.1]","[0.06, 0.06, 0.06, 0.06]",1.2,0.6,0.00836140000001
nominal,8,evaluated,2.75696279943,True,"[0.5284736613333398, -0.7591071771806045, 0.04234091836848708, -0.12546091161570572, -0.6405922652836854]","[0.6192539776058978, -0.8462224347400038, 0.10399459287327296, -0.13575564074381657, -0.6063089565484396]","[[0.45383620964022114, 0.7846717455715746], [-1.0, -0.680804666774327], [-0.061423175092403734, 0.26941236083894965], [-0.3011734087094933, 0.029662127221860124], [-0.7717267245141164, -0.44089118858276294]]","[0.48634131261107416, -0.3213858367322942, -0.0119376403046276, 0.05284934692799258]","[0.04, 0.06, 0.08, 0.1]","[0.0, 0.0, 0.0, 0.0]",1.2,0.6,0.0501867
extrapolation,8,evaluated,2.75696279943,True,"[-0.7, -0.5499999999999999, -0.39999999999999997, -0.25, 0.95]","[-0.609219683727442, -0.6371152575593992, -0.3383463254952141, -0.26029472912811086, 0.9842833087352457]","[[-0.7746374516931187, -0.44380191576176525], [-0.802533025525076, -0.47169748959372254], [-0.5037640934608908, -0.1729285575295374], [-0.42571249709378756, -0.09487696116243416], [0.8188655407695691, 1.0]]","[-0.18752820740584944, -0.2780446423580632, -0.2298800173362059, -0.007846238205617181]","[0.04, 0.06, 0.08, 0.1]","[0.0, 0.0, 0.0, 0.0]",1.2,0.6,0.014304
proxy_shift,8,evaluated,2.75696279943,False,"[0.5284736613333398, -0.7591071771806045, 0.04234091836848708, -0.12546091161570572, -0.6405922652836854]","[0.8008146101510137, -1.0, 0.22730194188284475, -0.1563450990000383, -0.5377423390779481]","[[0.6353968421853371, 0.9662323781166904], [-1.0, -0.8345822320343232], [0.06188417391716805, 0.39271970984852145], [-0.321762866965715, 0.009072668965638409], [-0.7031601070436249, -0.3723245711122714]]","[0.48634131261107416, -0.3213858367322942, -0.0119376403046276, 0.05284934692799258]","[0.04, 0.06, 0.08, 0.1]","[0.0, 0.0, 0.0, 0.0]",1.2,0.6,0.0588566000001
understated_LH,8,evaluated,2.75696279943,True,"[0.5284736613333398, -0.7591071771806045, 0.04234091836848708, -0.12546091161570572, -0.6405922652836854]","[0.6192539776058978, -0.8462224347400038, 0.10399459287327296, -0.13575564074381657, -0.6063089565484396]","[[0.45383620964022114, 0.7846717455715746], [-1.0, -0.680804666774327], [-0.061423175092403734, 0.26941236083894965], [-0.3011734087094933, 0.029662127221860124], [-0.7717267245141164, -0.44089118858276294]]","[0.48634131261107416, -0.3213858367322942, -0.0119376403046276, 0.05284934692799258]","[0.04, 0.06, 0.08, 0.1]","[0.0, 0.0, 0.0, 0.0]",0.12,0.06,0.0380777
high_noise,8,evaluated,2.75696279943,True,"[0.5284736613333398, -0.7591071771806045, 0.04234091836848708, -0.12546091161570572, -0.6405922652836854]","[0.6192539776058978, -0.8462224347400038, 0.10399459287327296, -0.13575564074381657, -0.6063089565484396]","[[0.45383620964022114, 0.7846717455715746], [-1.0, -0.680804666774327], [-0.061423175092403734, 0.26941236083894965], [-0.3011734087094933, 0.029662127221860124], [-0.7717267245141164, -0.44089118858276294]]","[0.6572848977993753, -0.39897512144842073, -0.08769767497703941, 0.29965687051675827]","[0.12, 0.18, 0.24, 0.30000000000000004]","[0.0, 0.0, 0.0, 0.0]",1.2,0.6,0.0417758000001
bounded_nuisance_bias,8,evaluated,2.75696279943,True,"[0.5284736613333398, -0.7591071771806045, 0.04234091836848708, -0.12546091161570572, -0.6405922652836854]","[0.6192539776058978, -0.8462224347400038, 0.10399459287327296, -0.13575564074381657, -0.6063089565484396]","[[0.45383620964022114, 0.7846717455715746], [-1.0, -0.680804666774327], [-0.061423175092403734, 0.26941236083894965], [-0.3011734087094933, 0.029662127221860124], [-0.7717267245141164, -0.44089118858276294]]","[0.42634131261107416, -0.2613858367322942, -0.0719376403046276, 0.11284934692799257]","[0.04, 0.06, 0.08, 0.1]","[0.06, 0.06, 0.06, 0.06]",1.2,0.6,0.0480373
nominal,9,evaluated,2.51189584707,True,"[0.6359368394889546, 0.25761019117169304, 0.25898231183466547, 0.7453501488583274, 0.4341568271309131]","[0.7193121204036779, 0.21580948968224214, 0.24397005483282694, 0.7089129275467716, 0.4023507851266697]","[[0.5685983695792987, 0.8700258712280571], [0.0650957388578629, 0.3665232405066214], [0.0932563040084477, 0.3946838056572062], [0.5581991767223924, 0.8596266783711508], [0.25163703430229045, 0.553064535951049]]","[0.46768138372560314, 0.16642720771956487, 0.2272620431826714, 0.6668347915020473]","[0.04, 0.06, 0.08, 0.1]","[0.0, 0.0, 0.0, 0.0]",1.2,0.6,0.0475655
extrapolation,9,evaluated,2.51189584707,True,"[-0.7, -0.5499999999999999, -0.39999999999999997, -0.25, 0.95]","[-0.6166247190852767, -0.5918007014894509, -0.4150122570018385, -0.28643722131155575, 0.9181939579957565]","[[-0.7673384699096559, -0.4659109682608975], [-0.7425144523138301, -0.44108695066507164], [-0.5657260078262177, -0.2642985061774593], [-0.437150972135935, -0.1357234704871765], [0.7674802071713773, 1.0]]","[-0.3082054191135298, -0.24729781016210578, -0.14024889527109619, -0.07828935113388848]","[0.04, 0.06, 0.08, 0.1]","[0.0, 0.0, 0.0, 0.0]",1.2,0.6,0.0124549999998
proxy_shift,9,evaluated,2.51189584707,False,"[0.6359368394889546, 0.25761019117169304, 0.25898231183466547, 0.7453501488583274, 0.4341568271309131]","[0.8860626822331246, 0.13220808670334036, 0.21394554082914988, 0.6360384849236602, 0.33873870111818294]","[[0.7353489314087454, 1.0], [-0.01850566412103888, 0.2829218375277196], [0.06323179000477064, 0.3646592916535291], [0.485324734099281, 0.7867522357480394], [0.1880249502938037, 0.48945245194256215]]","[0.46768138372560314, 0.16642720771956487, 0.2272620431826714, 0.6668347915020473]","[0.04, 0.06, 0.08, 0.1]","[0.0, 0.0, 0.0, 0.0]",1.2,0.6,0.0439325999998
understated_LH,9,evaluated,2.51189584707,True,"[0.6359368394889546, 0.25761019117169304, 0.25898231183466547, 0.7453501488583274, 0.4341568271309131]","[0.7193121204036779, 0.21580948968224214, 0.24397005483282694, 0.7089129275467716, 0.4023507851266697]","[[0.5685983695792987, 0.8700258712280571], [0.0650957388578629, 0.3665232405066214], [0.0932563040084477, 0.3946838056572062], [0.5581991767223924, 0.8596266783711508], [0.25163703430229045, 0.553064535951049]]","[0.46768138372560314, 0.16642720771956487, 0.2272620431826714, 0.6668347915020473]","[0.04, 0.06, 0.08, 0.1]","[0.0, 0.0, 0.0, 0.0]",0.12,0.06,0.0194205
high_noise,9,evaluated,2.51189584707,True,"[0.6359368394889546, 0.25761019117169304, 0.25898231183466547, 0.7453501488583274, 0.4341568271309131]","[0.7193121204036779, 0.21580948968224214, 0.24397005483282694, 0.7089129275467716, 0.4023507851266697]","[[0.5685983695792987, 0.8700258712280571], [0.0650957388578629, 0.3665232405066214], [0.0932563040084477, 0.3946838056572062], [0.5581991767223924, 0.8596266783711508], [0.25163703430229045, 0.553064535951049]]","[0.3972705454985437, 0.15033158739535327, 0.33076425264047893, 0.7727560892342704]","[0.12, 0.18, 0.24, 0.30000000000000004]","[0.0, 0.0, 0.0, 0.0]",1.2,0.6,0.0457801
bounded_nuisance_bias,9,evaluated,2.51189584707,True,"[0.6359368394889546, 0.25761019117169304, 0.25898231183466547, 0.7453501488583274, 0.4341568271309131]","[0.7193121204036779, 0.21580948968224214, 0.24397005483282694, 0.7089129275467716, 0.4023507851266697]","[[0.5685983695792987, 0.8700258712280571], [0.0650957388578629, 0.3665232405066214], [0.0932563040084477, 0.3946838056572062], [0.5581991767223924, 0.8596266783711508], [0.25163703430229045, 0.553064535951049]]","[0.40768138372560314, 0.22642720771956487, 0.1672620431826714, 0.7268347915020472]","[0.04, 0.06, 0.08, 0.1]","[0.06, 0.06, 0.06, 0.06]",1.2,0.6,0.0480157
nominal,10,evaluated,2.60250811597,True,"[-0.4603158515287774, 0.5892565660712019, 0.38275124073950195, 0.5644534529852956, -0.4077385755443551]","[-0.3713713720712646, 0.5821760830128989, 0.3691098430766091, 0.6434240190389593, -0.38254547975808195]","[[-0.5275218590292661, -0.21522088511326315], [0.4260255960548975, 0.7383265699709003], [0.21295935611860767, 0.5252603300346106], [0.48727353208095786, 0.7995745059969608], [-0.5386959667160833, -0.22639499280008052]]","[-0.16742536426661928, 0.46010733089111217, 0.26123992951210007, 0.5365273071912794]","[0.04, 0.06, 0.08, 0.1]","[0.0, 0.0, 0.0, 0.0]",1.2,0.6,0.00806739999985
extrapolation,10,evaluated,2.60250811597,True,"[-0.7, -0.5499999999999999, -0.39999999999999997, -0.25, 0.95]","[-0.6110555205424871, -0.5570804830583029, -0.4136413976628928, -0.17102943394633635, 0.9751930957862731]","[[-0.7672060075004885, -0.4549050335844857], [-0.7132309700163044, -0.4009299961003015], [-0.5697918846208943, -0.2574909107048914], [-0.3271799209043378, -0.014878946988334918], [0.8190426088282716, 1.0]]","[-0.22780305829995187, -0.23686359894901637, -0.2043603686178895, -0.028977074776005002]","[0.04, 0.06, 0.08, 0.1]","[0.0, 0.0, 0.0, 0.0]",1.2,0.6,0.00865339999996
proxy_shift,10,evaluated,2.60250811597,False,"[-0.4603158515287774, 0.5892565660712019, 0.38275124073950195, 0.5644534529852956, -0.4077385755443551]","[-0.19348241315623893, 0.5680151168962928, 0.34182704775082334, 0.8013651511462866, -0.33215928818553564]","[[-0.34963290011424036, -0.0373319261982375], [0.41186462993829137, 0.7241656038542943], [0.1856765607928219, 0.4979775347088248], [0.6452146641882852, 0.957515638104288], [-0.4883097751435371, -0.1760088012275342]]","[-0.16742536426661928, 0.46010733089111217, 0.26123992951210007, 0.5365273071912794]","[0.04, 0.06, 0.08, 0.1]","[0.0, 0.0, 0.0, 0.0]",1.2,0.6,0.00690469999995
understated_LH,10,evaluated,2.60250811597,True,"[-0.4603158515287774, 0.5892565660712019, 0.38275124073950195, 0.5644534529852956, -0.4077385755443551]","[-0.3713713720712646, 0.5821760830128989, 0.3691098430766091, 0.6434240190389593, -0.38254547975808195]","[[-0.5275218590292661, -0.21522088511326315], [0.4260255960548975, 0.7383265699709003], [0.21295935611860767, 0.5252603300346106], [0.48727353208095786, 0.7995745059969608], [-0.5386959667160833, -0.22639499280008052]]","[-0.16742536426661928, 0.46010733089111217, 0.26123992951210007, 0.5365273071912794]","[0.04, 0.06, 0.08, 0.1]","[0.0, 0.0, 0.0, 0.0]",0.12,0.06,0.00646329999995
high_noise,10,evaluated,2.60250811597,True,"[-0.4603158515287774, 0.5892565660712019, 0.38275124073950195, 0.5644534529852956, -0.4077385755443551]","[-0.3713713720712646, 0.5821760830128989, 0.3691098430766091, 0.6434240190389593, -0.38254547975808195]","[[-0.5275218590292661, -0.21522088511326315], [0.4260255960548975, 0.7383265699709003], [0.21295935611860767, 0.5252603300346106], [0.48727353208095786, 0.7995745059969608], [-0.5386959667160833, -0.22639499280008052]]","[-0.077031480866523, 0.4648801329930793, 0.236519192276321, 0.7410731576392695]","[0.12, 0.18, 0.24, 0.30000000000000004]","[0.0, 0.0, 0.0, 0.0]",1.2,0.6,0.00525569999991
bounded_nuisance_bias,10,evaluated,2.60250811597,True,"[-0.4603158515287774, 0.5892565660712019, 0.38275124073950195, 0.5644534529852956, -0.4077385755443551]","[-0.3713713720712646, 0.5821760830128989, 0.3691098430766091, 0.6434240190389593, -0.38254547975808195]","[[-0.5275218590292661, -0.21522088511326315], [0.4260255960548975, 0.7383265699709003], [0.21295935611860767, 0.5252603300346106], [0.48727353208095786, 0.7995745059969608], [-0.5386959667160833, -0.22639499280008052]]","[-0.22742536426661927, 0.5201073308911122, 0.20123992951210007, 0.5965273071912793]","[0.04, 0.06, 0.08, 0.1]","[0.06, 0.06, 0.06, 0.06]",1.2,0.6,0.00593249999997
nominal,11,evaluated,2.42811379568,True,"[0.2681781331419155, 0.22958469428033013, 0.41546339754812744, -0.4750758156330497, -0.4973610449727973]","[0.29860533872701345, 0.3716347786043499, 0.41369883679122105, -0.5003830016508524, -0.5141820103231081]","[[0.15291851098606882, 0.4442921664679581], [0.22594795086340527, 0.5173216063452946], [0.26801200905027645, 0.5593856645321656], [-0.646069829391797, -0.3546961739099077], [-0.6598688380640527, -0.3684951825821634]]","[0.10561174352628255, 0.14217680518982626, 0.21014126809351225, -0.37680115709783685]","[0.04, 0.06, 0.08, 0.1]","[0.0, 0.0, 0.0, 0.0]",1.2,0.6,0.00732429999994
extrapolation,11,evaluated,2.42811379568,True,"[-0.7, -0.5499999999999999, -0.39999999999999997, -0.25, 0.95]","[-0.669572794414902, -0.40794991567598016, -0.40176456075690636, -0.27530718601780263, 0.9331790346496892]","[[-0.8152596221558467, -0.5238859666739574], [-0.5536367434169248, -0.2622630879350355], [-0.547451388497851, -0.2560777330159617], [-0.42099401375874723, -0.129620358276858], [0.7874922069087446, 1.0]]","[-0.3498709896875117, -0.25063675093270954, -0.2829197208460342, -0.2907147768978292]","[0.04, 0.06, 0.08, 0.1]","[0.0, 0.0, 0.0, 0.0]",1.2,0.6,0.0150577000002
proxy_shift,11,evaluated,2.42811379568,False,"[0.2681781331419155, 0.22958469428033013, 0.41546339754812744, -0.4750758156330497, -0.4973610449727973]","[0.35945974989720925, 0.6557349472523896, 0.4101697152774083, -0.5509973736864576, -0.5478239410237294]","[[0.21377292215626462, 0.5051465776381538], [0.5100481195114449, 0.8014217749933342], [0.26448288753646365, 0.555856543018353], [-0.6966842014274023, -0.40531054594551297], [-0.6935107687646741, -0.4021371132827848]]","[0.10561174352628255, 0.14217680518982626, 0.21014126809351225, -0.37680115709783685]","[0.04, 0.06, 0.08, 0.1]","[0.0, 0.0, 0.0, 0.0]",1.2,0.6,0.0349153
understated_LH,11,evaluated,2.42811379568,True,"[0.2681781331419155, 0.22958469428033013, 0.41546339754812744, -0.4750758156330497, -0.4973610449727973]","[0.29860533872701345, 0.3716347786043499, 0.41369883679122105, -0.5003830016508524, -0.5141820103231081]","[[0.15291851098606882, 0.4442921664679581], [0.22594795086340527, 0.5173216063452946], [0.26801200905027645, 0.5593856645321656], [-0.646069829391797, -0.3546961739099077], [-0.6598688380640527, -0.3684951825821634]]","[0.10561174352628255, 0.14217680518982626, 0.21014126809351225, -0.37680115709783685]","[0.04, 0.06, 0.08, 0.1]","[0.0, 0.0, 0.0, 0.0]",0.12,0.06,0.0104008000001
high_noise,11,evaluated,2.42811379568,True,"[0.2681781331419155, 0.22958469428033013, 0.41546339754812744, -0.4750758156330497, -0.4973610449727973]","[0.29860533872701345, 0.3716347786043499, 0.41369883679122105, -0.5003830016508524, -0.5141820103231081]","[[0.15291851098606882, 0.4442921664679581], [0.22594795086340527, 0.5173216063452946], [0.26801200905027645, 0.5593856645321656], [-0.646069829391797, -0.3546961739099077], [-0.6598688380640527, -0.3684951825821634]]","[-0.04813023584874074, 0.11940330332440705, 0.028301826401443853, -0.6957307108934954]","[0.12, 0.18, 0.24, 0.30000000000000004]","[0.0, 0.0, 0.0, 0.0]",1.2,0.6,0.0100643000001
bounded_nuisance_bias,11,evaluated,2.42811379568,True,"[0.2681781331419155, 0.22958469428033013, 0.41546339754812744, -0.4750758156330497, -0.4973610449727973]","[0.29860533872701345, 0.3716347786043499, 0.41369883679122105, -0.5003830016508524, -0.5141820103231081]","[[0.15291851098606882, 0.4442921664679581], [0.22594795086340527, 0.5173216063452946], [0.26801200905027645, 0.5593856645321656], [-0.646069829391797, -0.3546961739099077], [-0.6598688380640527, -0.3684951825821634]]","[0.045611743526282555, 0.20217680518982625, 0.15014126809351225, -0.31680115709783685]","[0.04, 0.06, 0.08, 0.1]","[0.06, 0.06, 0.06, 0.06]",1.2,0.6,0.00788699999998
