k,replicate,test_scale,method,radius,joint_covered,marginal_fraction
4,88,2,marginal_only_invalid,2.2535102939,True,1
4,88,2,gaussian_union,2.57582930355,True,1
4,89,1,joint_max,2.58386561189,True,1
4,89,1,marginal_only_invalid,1.96268379509,True,1
4,89,1,gaussian_union,2.57582930355,True,1
4,89,2,joint_max,2.58386561189,True,1
4,89,2,marginal_only_invalid,1.96268379509,True,1
4,89,2,gaussian_union,2.57582930355,True,1
4,90,1,joint_max,2.56120154019,True,1
4,90,1,marginal_only_invalid,1.95817569428,True,1
4,90,1,gaussian_union,2.57582930355,True,1
4,90,2,joint_max,2.56120154019,True,1
4,90,2,marginal_only_invalid,1.95817569428,False,0.8
4,90,2,gaussian_union,2.57582930355,True,1
4,91,1,joint_max,2.51695734096,False,0.8
4,91,1,marginal_only_invalid,2.03370630544,False,0.8
4,91,1,gaussian_union,2.57582930355,False,0.8
4,91,2,joint_max,2.51695734096,False,0.8
4,91,2,marginal_only_invalid,2.03370630544,False,0.8
