surface,scenario,replicate,method,tolerance,stage,source_id,n,treated_mean,control_mean,effect,noise_sd,target_batch
linear,bridgeable,1,r2_nearest,0.2,3,4,96,-0.227783682665295,-0.0734356367149851,-0.154348045950309,0.102062072615966,
linear,bridgeable,1,r2_nearest,0.3,1,5,96,0.0928646776838779,-0.027981268814683,0.120845946498561,0.102062072615966,
linear,bridgeable,1,r2_nearest,0.3,2,6,96,0.240243835047096,0.121007083990552,0.119236751056544,0.102062072615966,
linear,bridgeable,1,r2_random,0.2,1,5,96,0.0928646776838779,-0.027981268814683,0.120845946498561,0.102062072615966,
linear,bridgeable,1,r2_random,0.2,2,9,96,0.615512350413866,0.0938897015162523,0.521622648897613,0.102062072615966,
linear,bridgeable,1,r2_random,0.3,1,5,96,0.0928646776838779,-0.027981268814683,0.120845946498561,0.102062072615966,
linear,bridgeable,1,r2_random,0.3,2,9,96,0.615512350413866,0.0938897015162523,0.521622648897613,0.102062072615966,
linear,bridgeable,1,r2_targeted,0.2,1,9,96,0.615512350413866,0.0938897015162523,0.521622648897613,0.102062072615966,
linear,bridgeable,1,r2_targeted,0.3,1,9,96,0.615512350413866,0.0938897015162523,0.521622648897613,0.102062072615966,
linear,bridgeable,1,rinf_targeted,0.2,1,9,96,0.615512350413866,0.0938897015162523,0.521622648897613,0.102062072615966,
linear,bridgeable,1,rinf_targeted,0.2,2,7,96,0.281871417680923,-0.0741579987426208,0.356029416423544,0.102062072615966,
linear,bridgeable,1,rinf_targeted,0.2,3,4,96,-0.227783682665295,-0.0734356367149851,-0.154348045950309,0.102062072615966,
linear,bridgeable,1,rinf_targeted,0.3,1,9,96,0.615512350413866,0.0938897015162523,0.521622648897613,0.102062072615966,
linear,bridgeable,1,target_only,0.2,1,10,96,-0.0326169665534871,0.0155438969074666,-0.0481608634609537,0.102062072615966,1
linear,bridgeable,1,target_only,0.2,2,10,96,0.06480546800062,-0.014146099516783,0.078951567517403,0.102062072615966,2
linear,bridgeable,1,target_only,0.2,3,10,96,0.0557718719776612,0.0638608091785549,-0.00808893720089369,0.102062072615966,3
linear,bridgeable,1,target_only,0.3,1,10,96,-0.0326169665534871,0.0155438969074666,-0.0481608634609537,0.102062072615966,1
linear,bridgeable,2,r2_nearest,0.2,1,5,96,-0.0275614795252977,-0.140222618159931,0.112661138634633,0.102062072615966,
linear,bridgeable,2,r2_nearest,0.2,2,4,96,-0.127857499175969,-0.0584675774742681,-0.0693899217017013,0.102062072615966,
linear,bridgeable,2,r2_nearest,0.2,3,6,96,0.233814277824165,0.0121554025672838,0.221658875256881,0.102062072615966,
linear,bridgeable,2,r2_nearest,0.3,1,5,96,-0.0275614795252977,-0.140222618159931,0.112661138634633,0.102062072615966,
linear,bridgeable,2,r2_nearest,0.3,2,4,96,-0.127857499175969,-0.0584675774742681,-0.0693899217017013,0.102062072615966,
linear,bridgeable,2,r2_nearest,0.3,3,6,96,0.233814277824165,0.0121554025672838,0.221658875256881,0.102062072615966,
linear,bridgeable,2,r2_random,0.2,1,9,96,0.657821339489501,-0.0659888795482268,0.723810219037728,0.102062072615966,
linear,bridgeable,2,r2_random,0.3,1,9,96,0.657821339489501,-0.0659888795482268,0.723810219037728,0.102062072615966,
linear,bridgeable,2,r2_targeted,0.2,1,9,96,0.657821339489501,-0.0659888795482268,0.723810219037728,0.102062072615966,
linear,bridgeable,2,r2_targeted,0.3,1,9,96,0.657821339489501,-0.0659888795482268,0.723810219037728,0.102062072615966,
linear,bridgeable,2,rinf_targeted,0.2,1,9,96,0.657821339489501,-0.0659888795482268,0.723810219037728,0.102062072615966,
linear,bridgeable,2,rinf_targeted,0.2,2,5,96,-0.0275614795252977,-0.140222618159931,0.112661138634633,0.102062072615966,
linear,bridgeable,2,rinf_targeted,0.2,3,7,96,0.361422431565722,-0.0748453718504257,0.436267803416147,0.102062072615966,
linear,bridgeable,2,rinf_targeted,0.3,1,9,96,0.657821339489501,-0.0659888795482268,0.723810219037728,0.102062072615966,
linear,bridgeable,2,target_only,0.2,1,10,96,-0.0174318232045071,0.0181196738890916,-0.0355514970935987,0.102062072615966,1
linear,bridgeable,2,target_only,0.2,2,10,96,-0.118022538521448,-0.107868193873414,-0.0101543446480338,0.102062072615966,2
linear,bridgeable,2,target_only,0.2,3,10,96,0.0298648610769167,0.0321670308333675,-0.00230216975645088,0.102062072615966,3
